iter	Passed	Remaining
400	21070	5201
401	21134	5152
402	21186	5099
403	21227	5044
404	21279	4991
405	21339	4940
406	21377	4884
407	21432	4832
408	21483	4780
409	21538	4727
410	21578	4672
411	21633	4620
412	21675	4566
413	21717	4511
414	21771	4459
415	21813	4404
416	21866	4352
417	21905	4297
418	21959	4245
419	22001	4190
420	22054	4138
421	22103	4085
422	22157	4033
423	22195	3978
424	22237	3924
425	22293	3872
426	22352	3821
427	22402	3768
428	22441	3714
429	22484	3660
430	22562	3612
431	22627	3561
432	22680	3509
433	22730	3456
434	22769	3402
435	22823	3350
436	22861	3295
437	22916	3243
438	22971	3191
439	23022	3139
440	23073	3086
441	23111	3032
442	23160	2980
443	23206	2926
444	23264	2875
445	23305	2821
446	23346	2768
447	23403	2716
448	23446	2663
449	23484	2609
450	23539	2557
451	23589	2505
452	23633	2452
453	23677	2399
454	23714	2345
455	23763	2292
456	23805	2239
457	23861	2188
458	23902	2135
459	23960	2083
460	23996	2030
461	24046	1977
462	24101	1926
463	24148	1873
464	24186	1820
465	24238	1768
466	24292	1716
467	24336	1664
468	24389	1612
469	24443	1560
470	24493	1508
471	24532	1455
472	24585	1403
473	24627	1350
474	24668	1298
475	24720	1246
476	24766	1194
477	24806	1141
478	24862	1090
479	24915	1038
480	24971	986
481	25016	934
482	25065	882
483	25122	830
484	25169	778
485	25213	726
486	25251	674
487	25308	622
488	25354	570
489	25407	518
490	25461	466
491	25511	414
492	25570	363
493	25619	311
494	25666	259
495	25713	207
496	25762	155
497	25801	103
498	25849	51
499	25905	0
