iter	RMSE
402	0.8118671239
403	0.8105036657
404	0.808953004
405	0.8071228829
406	0.8061988697
407	0.8044918155
408	0.802735168
409	0.8009093654
410	0.7996462259
411	0.7979006519
412	0.7971285907
413	0.7956863717
414	0.7940444992
415	0.7927351285
416	0.7910569089
417	0.7901015444
418	0.7885142073
419	0.7873101517
420	0.7856873034
421	0.7844769816
422	0.7828635808
423	0.78199224
424	0.7809940958
425	0.7791784162
426	0.7775381279
427	0.7762249186
428	0.7751673256
429	0.7740862167
430	0.7733959865
431	0.7718902983
432	0.7704391329
433	0.7692049509
434	0.7681554334
435	0.7663757494
436	0.7654934219
437	0.7638022747
438	0.7620624412
439	0.760646406
440	0.759123818
441	0.7584229395
442	0.7572868638
443	0.7557814873
444	0.7543977948
445	0.7532929462
446	0.7523161269
447	0.7506619185
448	0.7492403336
449	0.7484567663
450	0.7468967654
451	0.7454624066
452	0.7443034159
453	0.7430246698
454	0.7424463721
455	0.7412195985
456	0.7401245437
457	0.7385986144
458	0.7375661258
459	0.7359792255
460	0.7354174474
461	0.7341138916
462	0.7324915047
463	0.7314050871
464	0.7305894255
465	0.7294114974
466	0.7278151032
467	0.7267553981
468	0.7253587306
469	0.7239353223
470	0.7226402146
471	0.7219072559
472	0.7206679177
473	0.7196110482
474	0.7187534868
475	0.7176132231
476	0.7166416103
477	0.7157716976
478	0.7146746604
479	0.7135704192
480	0.7124559769
481	0.7114283118
482	0.710325307
483	0.7090509095
484	0.7080668547
485	0.7069922769
486	0.7061409786
487	0.7045919506
488	0.7036906508
489	0.702670752
490	0.7013679142
491	0.7004911915
492	0.6990655936
493	0.6980041033
494	0.6970027793
495	0.696092636
496	0.695159565
497	0.6944752853
498	0.6933515158
499	0.6919198226
